@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
56,'2019/12/13 10:57:40:104',1,0.973101,0.719022,0.685868,0.712511,0.838649,0.062987,0.379815,0.733477,0.154349,0.804688,0.226188,0.393179,367.401154,1
57,'2019/12/13 10:57:40:150',1,0.973101,0.719022,0.685868,0.712511,0.838649,0.062987,0.379815,0.733477,0.154349,0.804688,0.226188,0.393179,367.401154,1
58,'2019/12/13 10:57:40:151',1,0.973101,0.719022,0.685868,0.712511,0.838649,0.062987,0.379815,0.733477,0.154349,0.804688,0.226188,0.393179,367.401154,1
59,'2019/12/13 10:57:40:252',1,0.959839,0.721538,0.686162,0.697656,0.842808,0.090749,0.370203,0.814427,0.129142,0.793351,0.254135,0.390399,368.127625,1
60,'2019/12/13 10:57:40:255',1,0.959839,0.721538,0.686162,0.697656,0.842808,0.090749,0.370203,0.814427,0.129142,0.793351,0.254135,0.390399,368.127625,1
61,'2019/12/13 10:57:40:303',1,0.959839,0.721538,0.686162,0.697656,0.842808,0.090749,0.370203,0.814427,0.129142,0.793351,0.254135,0.390399,368.127625,1
62,'2019/12/13 10:57:40:305',1,0.959839,0.721538,0.686162,0.697656,0.842808,0.090749,0.370203,0.814427,0.129142,0.793351,0.254135,0.390399,368.127625,1
63,'2019/12/13 10:57:40:351',1,0.959839,0.721538,0.686162,0.697656,0.842808,0.090749,0.370203,0.814427,0.129142,0.793351,0.254135,0.390399,368.127625,1
64,'2019/12/13 10:57:40:353',1,0.959839,0.721538,0.686162,0.697656,0.842808,0.090749,0.370203,0.814427,0.129142,0.793351,0.254135,0.390399,368.127625,1
65,'2019/12/13 10:57:40:400',1,0.959839,0.721538,0.686162,0.697656,0.842808,0.090749,0.370203,0.814427,0.129142,0.793351,0.254135,0.390399,368.127625,1
66,'2019/12/13 10:57:40:402',1,0.959839,0.721538,0.686162,0.697656,0.842808,0.090749,0.370203,0.814427,0.129142,0.793351,0.254135,0.390399,368.127625,1
67,'2019/12/13 10:57:40:451',1,0.978787,0.676731,0.660872,0.631542,0.845115,0.096141,0.341114,0.802074,0.158362,0.808578,0.253321,0.392335,367.455597,1
68,'2019/12/13 10:57:40:453',1,0.978787,0.676731,0.660872,0.631542,0.845115,0.096141,0.341114,0.802074,0.158362,0.808578,0.253321,0.392335,367.455597,1
69,'2019/12/13 10:57:40:500',1,0.978787,0.676731,0.660872,0.631542,0.845115,0.096141,0.341114,0.802074,0.158362,0.808578,0.253321,0.392335,367.455597,1
70,'2019/12/13 10:57:40:502',1,0.978787,0.676731,0.660872,0.631542,0.845115,0.096141,0.341114,0.802074,0.158362,0.808578,0.253321,0.392335,367.455597,1
71,'2019/12/13 10:57:40:551',1,0.978787,0.676731,0.660872,0.631542,0.845115,0.096141,0.341114,0.802074,0.158362,0.808578,0.253321,0.392335,367.455597,1
72,'2019/12/13 10:57:40:554',1,0.978787,0.676731,0.660872,0.631542,0.845115,0.096141,0.341114,0.802074,0.158362,0.808578,0.253321,0.392335,367.455597,1
73,'2019/12/13 10:57:40:601',1,0.978787,0.676731,0.660872,0.631542,0.845115,0.096141,0.341114,0.802074,0.158362,0.808578,0.253321,0.392335,367.455597,1
74,'2019/12/13 10:57:40:603',1,0.978787,0.676731,0.660872,0.631542,0.845115,0.096141,0.341114,0.802074,0.158362,0.808578,0.253321,0.392335,367.455597,1
75,'2019/12/13 10:57:40:650',1,0.978787,0.676731,0.660872,0.631542,0.845115,0.096141,0.341114,0.802074,0.158362,0.808578,0.253321,0.392335,367.455597,1
76,'2019/12/13 10:57:40:653',1,0.986299,0.552758,0.662864,0.57348,0.836355,0.111073,0.337291,0.793151,0.126009,0.792594,0.253427,0.39324,351.289246,1
77,'2019/12/13 10:57:40:701',1,0.986299,0.552758,0.662864,0.57348,0.836355,0.111073,0.337291,0.793151,0.126009,0.792594,0.253427,0.39324,351.289246,1
78,'2019/12/13 10:57:40:702',1,0.986299,0.552758,0.662864,0.57348,0.836355,0.111073,0.337291,0.793151,0.126009,0.792594,0.253427,0.39324,351.289246,1
79,'2019/12/13 10:57:40:751',1,0.986299,0.552758,0.662864,0.57348,0.836355,0.111073,0.337291,0.793151,0.126009,0.792594,0.253427,0.39324,351.289246,1
80,'2019/12/13 10:57:40:754',1,0.986299,0.552758,0.662864,0.57348,0.836355,0.111073,0.337291,0.793151,0.126009,0.792594,0.253427,0.39324,351.289246,1
81,'2019/12/13 10:57:40:801',1,0.986299,0.552758,0.662864,0.57348,0.836355,0.111073,0.337291,0.793151,0.126009,0.792594,0.253427,0.39324,351.289246,1
82,'2019/12/13 10:57:40:803',1,0.986299,0.552758,0.662864,0.57348,0.836355,0.111073,0.337291,0.793151,0.126009,0.792594,0.253427,0.39324,351.289246,1
83,'2019/12/13 10:57:40:850',1,0.986299,0.552758,0.662864,0.57348,0.836355,0.111073,0.337291,0.793151,0.126009,0.792594,0.253427,0.39324,351.289246,1
84,'2019/12/13 10:57:40:852',1,0.339546,0.784908,0.126952,0.789241,0.252405,0.391491,0.989902,0.419379,0.689655,0.34392,0.794949,0.133075,344.986908,1
85,'2019/12/13 10:57:40:900',1,0.339546,0.784908,0.126952,0.789241,0.252405,0.391491,0.989902,0.419379,0.689655,0.34392,0.794949,0.133075,344.986908,1
86,'2019/12/13 10:57:40:902',1,0.339546,0.784908,0.126952,0.789241,0.252405,0.391491,0.989902,0.419379,0.689655,0.34392,0.794949,0.133075,344.986908,1
87,'2019/12/13 10:57:40:951',1,0.339546,0.784908,0.126952,0.789241,0.252405,0.391491,0.989902,0.419379,0.689655,0.34392,0.794949,0.133075,344.986908,1
88,'2019/12/13 10:57:40:955',1,0.339546,0.784908,0.126952,0.789241,0.252405,0.391491,0.989902,0.419379,0.689655,0.34392,0.794949,0.133075,344.986908,1
89,'2019/12/13 10:57:41:001',1,0.339546,0.784908,0.126952,0.789241,0.252405,0.391491,0.989902,0.419379,0.689655,0.34392,0.794949,0.133075,344.986908,1
90,'2019/12/13 10:57:41:003',1,0.339546,0.784908,0.126952,0.789241,0.252405,0.391491,0.989902,0.419379,0.689655,0.34392,0.794949,0.133075,344.986908,1
91,'2019/12/13 10:57:41:050',1,0.339546,0.784908,0.126952,0.789241,0.252405,0.391491,0.989902,0.419379,0.689655,0.34392,0.794949,0.133075,344.986908,1
92,'2019/12/13 10:57:41:052',1,0.339546,0.784908,0.126952,0.789241,0.252405,0.391491,0.989902,0.419379,0.689655,0.34392,0.794949,0.133075,344.986908,1
93,'2019/12/13 10:57:41:102',1,1.01624,0.290334,0.671875,0.083268,0.830598,0.151754,0.340559,0.785639,0.15642,0.800044,0.22614,0.39009,357.125854,1
94,'2019/12/13 10:57:41:103',1,1.01624,0.290334,0.671875,0.083268,0.830598,0.151754,0.340559,0.785639,0.15642,0.800044,0.22614,0.39009,357.125854,1
95,'2019/12/13 10:57:41:157',1,1.01624,0.290334,0.671875,0.083268,0.830598,0.151754,0.340559,0.785639,0.15642,0.800044,0.22614,0.39009,357.125854,1
96,'2019/12/13 10:57:41:160',1,1.01624,0.290334,0.671875,0.083268,0.830598,0.151754,0.340559,0.785639,0.15642,0.800044,0.22614,0.39009,357.125854,1
97,'2019/12/13 10:57:41:200',1,1.01624,0.290334,0.671875,0.083268,0.830598,0.151754,0.340559,0.785639,0.15642,0.800044,0.22614,0.39009,357.125854,1
98,'2019/12/13 10:57:41:202',1,1.01624,0.290334,0.671875,0.083268,0.830598,0.151754,0.340559,0.785639,0.15642,0.800044,0.22614,0.39009,357.125854,1
99,'2019/12/13 10:57:41:251',1,1.01624,0.290334,0.671875,0.083268,0.830598,0.151754,0.340559,0.785639,0.15642,0.800044,0.22614,0.39009,357.125854,1
100,'2019/12/13 10:57:41:263',1,1.01624,0.290334,0.671875,0.083268,0.830598,0.151754,0.340559,0.785639,0.15642,0.800044,0.22614,0.39009,357.125854,1
101,'2019/12/13 10:57:41:300',1,1.011513,0.224403,0.703082,-0.051259,0.837131,0.156905,0.392744,0.78643,0.152809,0.79894,0.251631,0.387159,361.219208,1
102,'2019/12/13 10:57:41:315',1,1.011513,0.224403,0.703082,-0.051259,0.837131,0.156905,0.392744,0.78643,0.152809,0.79894,0.251631,0.387159,361.219208,1
103,'2019/12/13 10:57:41:350',1,1.011513,0.224403,0.703082,-0.051259,0.837131,0.156905,0.392744,0.78643,0.152809,0.79894,0.251631,0.387159,361.219208,1
104,'2019/12/13 10:57:41:352',1,1.011513,0.224403,0.703082,-0.051259,0.837131,0.156905,0.392744,0.78643,0.152809,0.79894,0.251631,0.387159,361.219208,1
105,'2019/12/13 10:57:41:401',1,1.011513,0.224403,0.703082,-0.051259,0.837131,0.156905,0.392744,0.78643,0.152809,0.79894,0.251631,0.387159,361.219208,1
106,'2019/12/13 10:57:41:403',1,1.011513,0.224403,0.703082,-0.051259,0.837131,0.156905,0.392744,0.78643,0.152809,0.79894,0.251631,0.387159,361.219208,1
107,'2019/12/13 10:57:41:451',1,1.011513,0.224403,0.703082,-0.051259,0.837131,0.156905,0.392744,0.78643,0.152809,0.79894,0.251631,0.387159,361.219208,1
108,'2019/12/13 10:57:41:453',1,0.404978,0.79446,0.14097,0.795225,0.270627,0.39148,1.025818,0.059477,0.713208,-0.012088,0.840896,0.17163,360.032654,1
109,'2019/12/13 10:57:41:500',1,0.404978,0.79446,0.14097,0.795225,0.270627,0.39148,1.025818,0.059477,0.713208,-0.012088,0.840896,0.17163,360.032654,1
110,'2019/12/13 10:57:41:502',1,0.404978,0.79446,0.14097,0.795225,0.270627,0.39148,1.025818,0.059477,0.713208,-0.012088,0.840896,0.17163,360.032654,1
