@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute outputs-1 numeric

@data
39,'2019/11/12 12:11:24:590',1,0.72113,0.271142,0.735732,0.267039,0.728905,0.264154,0.734898,0.279715,0.718809,0.27858,0.760989,0.354439,0.677984,0.365998,0.790994,0.498141,0.646333,0.485788,0.801658,0.591183,0.649102,0.586371,0.747734,0.589281,0.688551,0.584075,0.745815,0.762279,0.694876,0.758626,0.757375,0.865857,0.699017,0.860609,?
40,'2019/11/12 12:11:24:609',1,0.72113,0.271142,0.735732,0.267039,0.728905,0.264154,0.734898,0.279715,0.718809,0.27858,0.760989,0.354439,0.677984,0.365998,0.790994,0.498141,0.646333,0.485788,0.801658,0.591183,0.649102,0.586371,0.747734,0.589281,0.688551,0.584075,0.745815,0.762279,0.694876,0.758626,0.757375,0.865857,0.699017,0.860609,?
41,'2019/11/12 12:11:24:624',1,0.72113,0.271142,0.735732,0.267039,0.728905,0.264154,0.734898,0.279715,0.718809,0.27858,0.760989,0.354439,0.677984,0.365998,0.790994,0.498141,0.646333,0.485788,0.801658,0.591183,0.649102,0.586371,0.747734,0.589281,0.688551,0.584075,0.745815,0.762279,0.694876,0.758626,0.757375,0.865857,0.699017,0.860609,?
42,'2019/11/12 12:11:24:640',1,0.72113,0.271142,0.735732,0.267039,0.728905,0.264154,0.734898,0.279715,0.718809,0.27858,0.760989,0.354439,0.677984,0.365998,0.790994,0.498141,0.646333,0.485788,0.801658,0.591183,0.649102,0.586371,0.747734,0.589281,0.688551,0.584075,0.745815,0.762279,0.694876,0.758626,0.757375,0.865857,0.699017,0.860609,?
43,'2019/11/12 12:11:24:656',1,0.72113,0.271142,0.735732,0.267039,0.728905,0.264154,0.734898,0.279715,0.718809,0.27858,0.760989,0.354439,0.677984,0.365998,0.790994,0.498141,0.646333,0.485788,0.801658,0.591183,0.649102,0.586371,0.747734,0.589281,0.688551,0.584075,0.745815,0.762279,0.694876,0.758626,0.757375,0.865857,0.699017,0.860609,?
44,'2019/11/12 12:11:24:675',1,0.729822,0.280392,0.734126,0.269724,0.726968,0.266997,0.734437,0.281228,0.71735,0.28059,0.763472,0.353483,0.679028,0.365988,0.789316,0.502681,0.644613,0.484647,0.799027,0.596621,0.646764,0.584347,0.750288,0.589956,0.690647,0.584689,0.74737,0.76299,0.696625,0.757573,0.75961,0.866365,0.700154,0.862477,?
45,'2019/11/12 12:11:24:692',1,0.729822,0.280392,0.734126,0.269724,0.726968,0.266997,0.734437,0.281228,0.71735,0.28059,0.763472,0.353483,0.679028,0.365988,0.789316,0.502681,0.644613,0.484647,0.799027,0.596621,0.646764,0.584347,0.750288,0.589956,0.690647,0.584689,0.74737,0.76299,0.696625,0.757573,0.75961,0.866365,0.700154,0.862477,?
46,'2019/11/12 12:11:24:707',1,0.729822,0.280392,0.734126,0.269724,0.726968,0.266997,0.734437,0.281228,0.71735,0.28059,0.763472,0.353483,0.679028,0.365988,0.789316,0.502681,0.644613,0.484647,0.799027,0.596621,0.646764,0.584347,0.750288,0.589956,0.690647,0.584689,0.74737,0.76299,0.696625,0.757573,0.75961,0.866365,0.700154,0.862477,?
47,'2019/11/12 12:11:24:725',1,0.729822,0.280392,0.734126,0.269724,0.726968,0.266997,0.734437,0.281228,0.71735,0.28059,0.763472,0.353483,0.679028,0.365988,0.789316,0.502681,0.644613,0.484647,0.799027,0.596621,0.646764,0.584347,0.750288,0.589956,0.690647,0.584689,0.74737,0.76299,0.696625,0.757573,0.75961,0.866365,0.700154,0.862477,?
48,'2019/11/12 12:11:24:742',1,0.729822,0.280392,0.734126,0.269724,0.726968,0.266997,0.734437,0.281228,0.71735,0.28059,0.763472,0.353483,0.679028,0.365988,0.789316,0.502681,0.644613,0.484647,0.799027,0.596621,0.646764,0.584347,0.750288,0.589956,0.690647,0.584689,0.74737,0.76299,0.696625,0.757573,0.75961,0.866365,0.700154,0.862477,?
49,'2019/11/12 12:11:24:758',1,0.729822,0.280392,0.734126,0.269724,0.726968,0.266997,0.734437,0.281228,0.71735,0.28059,0.763472,0.353483,0.679028,0.365988,0.789316,0.502681,0.644613,0.484647,0.799027,0.596621,0.646764,0.584347,0.750288,0.589956,0.690647,0.584689,0.74737,0.76299,0.696625,0.757573,0.75961,0.866365,0.700154,0.862477,?
50,'2019/11/12 12:11:24:774',1,0.729822,0.280392,0.734126,0.269724,0.726968,0.266997,0.734437,0.281228,0.71735,0.28059,0.763472,0.353483,0.679028,0.365988,0.789316,0.502681,0.644613,0.484647,0.799027,0.596621,0.646764,0.584347,0.750288,0.589956,0.690647,0.584689,0.74737,0.76299,0.696625,0.757573,0.75961,0.866365,0.700154,0.862477,?
51,'2019/11/12 12:11:24:790',1,0.729822,0.280392,0.734126,0.269724,0.726968,0.266997,0.734437,0.281228,0.71735,0.28059,0.763472,0.353483,0.679028,0.365988,0.789316,0.502681,0.644613,0.484647,0.799027,0.596621,0.646764,0.584347,0.750288,0.589956,0.690647,0.584689,0.74737,0.76299,0.696625,0.757573,0.75961,0.866365,0.700154,0.862477,?
52,'2019/11/12 12:11:24:809',1,0.729822,0.280392,0.734126,0.269724,0.726968,0.266997,0.734437,0.281228,0.71735,0.28059,0.763472,0.353483,0.679028,0.365988,0.789316,0.502681,0.644613,0.484647,0.799027,0.596621,0.646764,0.584347,0.750288,0.589956,0.690647,0.584689,0.74737,0.76299,0.696625,0.757573,0.75961,0.866365,0.700154,0.862477,?
53,'2019/11/12 12:11:24:826',1,0.729822,0.280392,0.734126,0.269724,0.726968,0.266997,0.734437,0.281228,0.71735,0.28059,0.763472,0.353483,0.679028,0.365988,0.789316,0.502681,0.644613,0.484647,0.799027,0.596621,0.646764,0.584347,0.750288,0.589956,0.690647,0.584689,0.74737,0.76299,0.696625,0.757573,0.75961,0.866365,0.700154,0.862477,?
54,'2019/11/12 12:11:24:839',1,0.729822,0.280392,0.734126,0.269724,0.726968,0.266997,0.734437,0.281228,0.71735,0.28059,0.763472,0.353483,0.679028,0.365988,0.789316,0.502681,0.644613,0.484647,0.799027,0.596621,0.646764,0.584347,0.750288,0.589956,0.690647,0.584689,0.74737,0.76299,0.696625,0.757573,0.75961,0.866365,0.700154,0.862477,?
55,'2019/11/12 12:11:24:857',1,0.729822,0.280392,0.734126,0.269724,0.726968,0.266997,0.734437,0.281228,0.71735,0.28059,0.763472,0.353483,0.679028,0.365988,0.789316,0.502681,0.644613,0.484647,0.799027,0.596621,0.646764,0.584347,0.750288,0.589956,0.690647,0.584689,0.74737,0.76299,0.696625,0.757573,0.75961,0.866365,0.700154,0.862477,?
56,'2019/11/12 12:11:24:874',1,0.729822,0.280392,0.734126,0.269724,0.726968,0.266997,0.734437,0.281228,0.71735,0.28059,0.763472,0.353483,0.679028,0.365988,0.789316,0.502681,0.644613,0.484647,0.799027,0.596621,0.646764,0.584347,0.750288,0.589956,0.690647,0.584689,0.74737,0.76299,0.696625,0.757573,0.75961,0.866365,0.700154,0.862477,?
57,'2019/11/12 12:11:24:890',1,0.729822,0.280392,0.734126,0.269724,0.726968,0.266997,0.734437,0.281228,0.71735,0.28059,0.763472,0.353483,0.679028,0.365988,0.789316,0.502681,0.644613,0.484647,0.799027,0.596621,0.646764,0.584347,0.750288,0.589956,0.690647,0.584689,0.74737,0.76299,0.696625,0.757573,0.75961,0.866365,0.700154,0.862477,?
58,'2019/11/12 12:11:24:907',1,0.729822,0.280392,0.734126,0.269724,0.726968,0.266997,0.734437,0.281228,0.71735,0.28059,0.763472,0.353483,0.679028,0.365988,0.789316,0.502681,0.644613,0.484647,0.799027,0.596621,0.646764,0.584347,0.750288,0.589956,0.690647,0.584689,0.74737,0.76299,0.696625,0.757573,0.75961,0.866365,0.700154,0.862477,?
59,'2019/11/12 12:11:24:923',1,0.729822,0.280392,0.734126,0.269724,0.726968,0.266997,0.734437,0.281228,0.71735,0.28059,0.763472,0.353483,0.679028,0.365988,0.789316,0.502681,0.644613,0.484647,0.799027,0.596621,0.646764,0.584347,0.750288,0.589956,0.690647,0.584689,0.74737,0.76299,0.696625,0.757573,0.75961,0.866365,0.700154,0.862477,?
